"Gender","composite_name","n"
"female","Suvi Saarikallio",30
"female","Amanda Krause",29
"female","Jane Davidson",27
"female","Elizabeth Margulis",18
"female","Andrea Creech",17
"female","Freya Bailes",17
"female","Nikki Rickard",17
"female","Renee Timmers",17
"female","Jonna Vuoskoski",16
"female","Sandra Trehub",16
"female","Birgitta Burger",15
"female","Susan Hallam",15
"female","Alexandra Lamont",14
"female","Dianna Kenny",14
"female","Jane Ginsborg",14
"female","Tuire Kuusi",14
"female","Kelly Jakubowski",13
"female","Andrea Halpern",11
"female","Anne Danielsen",11
"female","Arielle Bonneville-Roussy",11
"female","Isabelle Peretz",11
"female","Laura Bishop",11
"female","Laurel Trainor",11
"female","Nicola Dibben",11
"female","Anna Wolf",10
"female","Barbara Tillmann",10
"female","Carol Krumhansl",10
"female","Dominique Vuvan",10
"female","Elvira Brattico",10
"female","Genevieve Dingle",10
"female","Helen Mitchell",10
"female","Ioulia Papageorgi",10
"female","Margaret Barrett",10
"female","Rosie Perkins",10
"female","Anja Volk",9
"female","Catherine Stevens",9
"female","Jennifer Bugos",9
"female","Jennifer MacRitchie",9
"female","Makiko Sadakata",9
"female","Victoria Williamson",9
"female","Alinka Greasley",8
"female","Elaine Chew",8
"female","Felicity Baker",8
"female","Karen Burland",8
"female","Lauren Stewart",8
"female","Margaret Osborne",8
"female","Mari Tervaniemi",8
"female","Maria Varvarigou",8
"female","Naomi Ziv",8
"female","Roni Granot",8
"female","Caroline Palmer",7
"female","Charlene Ryan",7
"female","Eline Smit",7
"female","Franziska Degé",7
"female","Guadalupe López-Íñiguez",7
"female","Gudrun Schwarzer",7
"female","Henna-Riikka Peltola",7
"female","Psyche Loui",7
"female","Simone Bella",7
"female","Siu-Lan Tan",7
"female","Anja-Xiaoxing Cui",6
"female","Assal Habibi",6
"female","Beatriz Ilari",6
"female","Claire Arthur",6
"female","Cunmei Jiang",6
"female","Daisy Fancourt",6
"female","Daphne Tan",6
"female","Dawn Rose",6
"female","Helena Gaunt",6
"female","Katie Zhukov",6
"female","Lola Cuddy",6
"female","Maria Witek",6
"female","Melissa Forbes",6
"female","Neta Spiro",6
"female","Roberta Philippe",6
"female","Sandra Garrido",6
"female","Stephanie Pitts",6
"female","Aline Honingh",5
"female","Amy Belfi",5
"female","Andrea Ravignani",5
"female","Edith Van Dyck",5
"female","Emily Carlson",5
"female","Fang Liu",5
"female","Helena Marinho",5
"female","Kathleen Corrigall",5
"female","Laura Sakka",5
"female","Mary Broughton",5
"female","Melanie Wald-Fuhrmann",5
"female","Micheline Lesaffre",5
"female","Nina Düvel",5
"female","Sarah Hashim",5
"female","Sarah Wilson",5
"female","Takako Fujioka",5
"female","Tamara Rathcke",5
"female","Teresa Lesiuk",5
"female","Vinoo Alluri",5
"female","Zehra Peynircioǧlu",5
"female","Alice Proverbio",4
"female","Amandine Pras",4
"female","Anemone Van Zijl",4
"female","Ann-Kristin Herget",4
"female","Anna Addessi",4
"female","Annabel Cohen",4
"female","Antonia Ivaldi",4
"female","Caitlin Shaughnessy",4
"female","Caroline Cohrdes",4
"female","Catherine Guastavino",4
"female","Claudia Spahn",4
"female","Dorottya Fabian",4
"female","Elaine King",4
"female","Elena Alessandri",4
"female","Emilia Gómez",4
"female","Emma Allingham",4
"female","Erin Hannon",4
"female","Eugenia Hernandez-Ruiz",4
"female","Fabia Franco",4
"female","Filipa Lã",4
"female","Helena Rodrigues",4
"female","Hema Murthy",4
"female","Isabella Czedik-Eysenberg",4
