Name,InferredGender,Notes
"Acatia","female","Uncommon likely feminine form similar to Acacia"
"Ahnate","unknown","Very rare could be a variant or invented name"
"Aiyun","female","Chinese used for both genders though slightly more for females"
"Akiho","ambiguous","Japanese used for both genders context-dependent"
"Amir-Homayoun","male","Persian male compound name"
"Anja-Xiaoxing","female","Anja (female German/Slavic) + Xiaoxing (Chinese likely female)"
"Aravindan","male","Indian (Tamil) masculine"
"Avinash","male","Indian traditionally masculine"
"Azhagammal","female","Tamil ammal suffix signals female"
"Babatunji","male","Yoruba (Nigerian) male name"
"Beach","unknown","Rare as a given name"
"Bing-Yi","ambiguous","Chinese could be either context needed"
"Bo-Wah","ambiguous","Chinese (Cantonese) gender depends on characters"
"Boguslław","male","Polish variant of Bogusław (male)"
"Boon-Kiat","male","Chinese/Malay typically male"
"Caliani","female","Likely feminine similar to Caliana but very rare"
"Callula","female","Rare but resembles other feminine endings"
"Carmine-Emanuele","male","Italian compound both names are male"
"Cayenna","female","Variant of Cayenne likely feminine"
"Chen-Gia","unknown","Chinese-style unclear without characters"
"Chencheng","ambiguous","Chinese could be male or female"
"Chia-Fen","female","Taiwanese/Chinese common female structure"
"Chin-Chang","ambiguous","Chinese unclear depends on characters"
"Chuanyu","male","Chinese more commonly male"
"Chuck-Jee","male","Chuck (male) + Jee (unclear likely Korean-derived)"
"Ciaran","male","Irish traditional male name"
"Clesmânya","unknown","Very rare or invented possibly feminine based on form"
"Cochavit","female","Hebrew origin rare but feminine"
"Cunmei","female","Chinese mei (美) often in female names"
"Dacian","male","Romanian origin masculine"
"Dianzhi","ambiguous","Chinese context or characters needed"
"Dongho","male","Korean masculine given name"
"Dorottya","female","known"
"Eckett","unknown","Very rare possibly surname used as given name"
"Emilios","male","known"
"Emmanouil","male","Greek form of Emmanuel masculine"
"Ewulu","ambiguous","Nigerian (Igbo) used as both surname and given unclear gender"
"Fang-Ya","female","Chinese Ya often feminine also Fang in female names"
"Fern-Chantele","female","Both components are feminine"
"Feruth","unknown","Extremely rare no clear gender signal"
"Frini","female","Greek origin feminine"
"Gianpaolo","male","Italian compound name (Gian + Paolo)"
"Godfried","male","Dutch/German origin masculine"
"Gong-Liang","male","Chinese Liang more common in male names"
"Gualtiero","male","known"
"Guo-Zheng","male","Chinese Zheng often used in male names"
"György","male","known"
"Hallgjerd","female","Old Norse/Norwegian feminine"
"Hans-Ullrich","male","German compound masculine name"
"Hao-Yuan","male","Chinese commonly masculine"
"Haosong","male","Chinese song often masculine but needs characters for certainty"
"Heekyeong","ambiguous","Korean used for both genders context-dependent"
"Henkjan","male","known"
"Henna-Riikka","female","known"
"Hsin-Min","ambiguous","Taiwanese/Chinese gender unclear without characters"
"Hyun-Woong","male","Korean Woong common in male names"
"Ioulia","female","Greek form of Julia"
"Jee-Weon","ambiguous","Korean used for both genders"
"Jingni","female","Chinese ni (妮) commonly in female names"
"Jotthi","female","Indian origin rare but aligns with feminine name forms"
"Ju-Lee","female","Korean/English hybrid likely feminine"
"Julia-Caroline","female","Clearly feminine compound name"
"Jung-Kyong","ambiguous","Korean depends on characters possibly female"
"Kagari","female","Japanese feminine"
"Kamraan","male","Persian/Urdu origin masculine"
"Karendra","male","South Asian appears masculine variant of Karun/Karunendra"
"Ki-Hong","male","Korean Hong commonly used in male names"
"King-Chi","ambiguous","Cantonese romanisation gender unclear"
"Kitye","female","known"
"Klisala","female","Rare known as a feminine given name (e.g. Klisala Harrison)"
"Kok-Ben","male","Chinese-Malay typically masculine"
"Konstanca","female","Slavic form of Constance"
