"first_name","middle_name","Gender","full_name","DOI"
"Dana",NA,"female","D. Swarbrick","10.1177/20592043241263461"
"Rachel",NA,"female","R. Martin","10.1177/20592043241263461"
"Simon",NA,"male","S. Høffding","10.1177/20592043241263461"
"Nanette",NA,"female","N. Nielsen","10.1177/20592043241263461"
"Jonna","K.","female","J. K. Vuoskoski","10.1177/20592043241263461"
"Tamaya",NA,"female","T. Van Criekinge","10.1177/20592043211015353"
"Kris",NA,"male","K. D’Août","10.1177/20592043211015353"
"Jonathon",NA,"male","J. O’Brien","10.1177/20592043211015353"
"Eduardo",NA,"male","E. Coutinho","10.1177/20592043211015353"
"Alex",NA,"male","A. Kolomiets","10.1080/09298215.2020.1824240"
"Yasha","J.","male","Y. J. Grobman","10.1080/09298215.2020.1824240"
"Vadim","V.","male","V. V. Popov","10.1080/09298215.2020.1824240"
"Evgeny",NA,"male","E. Strokin","10.1080/09298215.2020.1824240"
"Grigory",NA,"male","G. Senchikhin","10.1080/09298215.2020.1824240"
"Ezri",NA,"male","E. Tarazi","10.1080/09298215.2020.1824240"
"Christoph",NA,"male","C. Wick","10.1080/09298215.2021.1873393"
"Frank",NA,"male","F. Puppe","10.1080/09298215.2021.1873393"
"Rangarajan",NA,"male","R. Gowriprasad","10.1080/09298215.2023.2265912"
"Rengarajan",NA,"male","R. Aravind","10.1080/09298215.2023.2265912"
"Narasimhan","V. N.","male","M. V. N. Murthy","10.1080/09298215.2023.2251457"
"Wang",NA,"female","W. Xiaoyu","10.1080/09298215.2024.2311649"
"X.",NA,"unresolved","X. Ying","10.1080/09298215.2024.2311649"
"Li",NA,"male","L. Shilin","10.1080/09298215.2024.2311649"
"Rao",NA,"male","R. Xiubo","10.1080/09298215.2024.2311649"
"Y.",NA,"unresolved","Y. Dan","10.1080/09298215.2024.2311649"
"Yu",NA,"female","Y. Xinran","10.1080/09298215.2024.2311649"
"Li",NA,"male","L. Junrui","10.1080/09298215.2024.2311649"
"Du",NA,"female","D. Jinjing","10.1080/09298215.2024.2311649"
"X.",NA,"unresolved","X. Qiujian","10.1080/09298215.2024.2311649"
"Tom",NA,"male","T. Lloyd","10.1080/09298215.2018.1459732"
"Paul",NA,"male","P. Gaydecki","10.1080/09298215.2018.1459732"
"Hjálmar",NA,"male","H. Johannsson","10.1080/09298215.2018.1459732"
"Jane",NA,"female","J. Ginsborg","10.1080/09298215.2018.1459732"
"Chris",NA,"male","C. Yates","10.1080/09298215.2018.1459732"
"Tom",NA,"male","T. Lloyd","10.1080/09298215.2017.1421668"
"Paul",NA,"male","P. Gaydecki","10.1080/09298215.2017.1421668"
"Jane",NA,"female","J. Ginsborg","10.1080/09298215.2017.1421668"
"Chris",NA,"male","C. Yates","10.1080/09298215.2017.1421668"
"Adam","B.","male","A. B. Kruger","10.1080/09298215.2020.1784957"
"Johan","P.","male","J. P. Jacobs","10.1080/09298215.2020.1784957"
"Krishna","S.","male","K. S. Rao","10.1080/09298215.2017.1330351"
"Nikolaos",NA,"male","N. Koumartzis","10.1080/09298215.2015.1106563"
"Dimitrios",NA,"male","D. Tzetzis","10.1080/09298215.2015.1106563"
"Panagiotis",NA,"male","P. Kyratsis","10.1080/09298215.2015.1106563"
"Rafail","G.","female","R. G. Kotsakis","10.1080/09298215.2015.1106563"
"Andrew",NA,"male","A. Robertson","10.1080/09298215.2015.1009839"
"Mark","D.","male","M. D. Plumbley","10.1080/09298215.2015.1009839"
"Vasiliki",NA,"female","V. Boura","10.1080/09298210802484037"
"Vasiliki",NA,"female","V. Boura","10.1080/09298210701755222"
"Martin","F.","male","M. F. McKinney","10.1080/09298210701653252"
"Dirk",NA,"male","D. Moelants","10.1080/09298210701653252"
"Matthew","E. P.","male","M. E. P. Davies","10.1080/09298210701653252"
"Anssi",NA,"male","A. Klapuri","10.1080/09298210701653252"
"Francisco","J. Cañadas","male","F. J. Cañadas Quesada","10.1080/09298211003695579"
"José","J.","male","J. J. Carabias","10.1080/09298211003695579"
"Sebastián",NA,"male","S. Maldonado","10.1080/09298211003695579"
"Francisco","J.","male","F. J. Cañadas-Quesada","10.1080/09298210802474475"
"Pedro",NA,"male","P. Vera-Candeas","10.1080/09298210802474475"
"Nicolás",NA,"male","N. Ruiz-Reyes","10.1080/09298210802474475"
"Rafael",NA,"male","R. Mata-Campos","10.1080/09298210802474475"
"José","J.","male","J. J. Carabias-Orti","10.1080/09298210802474475"
"Pankaj",NA,"male","P. Sinha","10.1080/09298210802535010"
"Raphael",NA,"male","R. Clifford","10.1080/09298210600578055"
"Romain",NA,"male","R. Groult","10.1080/09298210600578055"
"Costas","S.","male","C. S. Iliopoulos","10.1080/09298210600578055"
"Donald",NA,"male","D. Byrd","10.1080/09298210600578055"
"Ilja",NA,"male","I. Shmulevich","10.1076/0929-8215(200003)29:01;1-P;FT061"
"Dirk-Jan","-J.","male","D. -J. Povel","10.1076/0929-8215(200003)29:01;1-P;FT061"
"Paolo",NA,"male","P. Bellini","10.1080/09298210500236051"
"Ivan",NA,"male","I. Bruno","10.1080/09298210500236051"
"Paolo",NA,"male","P. Nesi","10.1080/09298210500236051"
"Agostino",NA,"male","A. Di Scipio","10.1076/0929-8215(200003)29:01;1-P;FT001"
"José Enrique","E.","male","J. E. Muñoz-Expósito","10.1080/09298210601045682"
"Nicolás",NA,"male","N. Ruiz-Reyes","10.1080/09298210601045682"
"Sergio",NA,"female","S. García-Galán","10.1080/09298210601045682"
"Pedro",NA,"male","P. Vera-Candeas","10.1080/09298210601045682"
"Tom",NA,"male","T. Roger","10.1525/MP.2014.32.1.51"
"Scott","A. Scott","male","J. A. Scott Kelso","10.1525/mp.2005.22.3.531"
"Richard","J.","male","R. J. Beck","10.2307/40285902"
"Thomas","C.","male","T. C. Cesario","10.2307/40285902"
"Arman",NA,"male","A. Yousefi","10.2307/40285902"
"H.",NA,"unresolved","H. Enamoto","10.2307/40285902"
"Emanuel",NA,"male","E. Bigand","10.1177/10298649100140S215"
"Philippe",NA,"male","P. Lalitte","10.1177/10298649100140S215"
"Fred",NA,"male","F. Lerdahl","10.1177/10298649100140S215"
"Jean-Michel","-M.","male","J. -M. Boucheix","10.1177/10298649100140S215"
"Yves",NA,"male","Y. Gérard","10.1177/10298649100140S215"
"Thierry",NA,"male","T. Pozzo","10.1177/10298649100140S215"
"Rainer",NA,"male","R. Typke","10.1177/102986490901300109"
"Anna","C.","female","A. C. Walczak-Typke","10.1177/102986490901300109"
"Mari",NA,"female","M. Tervaniemi","10.1177/102986490300700203"
"Minna",NA,"female","M. Huotllainen","10.1177/102986490300700203"
"Elvira",NA,"female","E. Bratiico","10.1177/102986490300700203"
"Risto","J.","male","R. J. Ilmoniemi","10.1177/102986490300700203"
"Kalevi",NA,"male","K. Reinlkainen","10.1177/102986490300700203"
"Kimmo",NA,"male","K. Alho","10.1177/102986490300700203"
"Lynn","Y.","female","L. Y. Hooi","10.1177/03057356231211824"
"Kok","Wei","male","K. W. Tan","10.1177/03057356231211824"
"XiaoTian","T.","male","X. T. Wang","10.1177/03057356231156201"
"Jose","A.","male","J. A. de Paz","10.1177/0305735620904777"
"Alinka","E.","female","A. E. Greasley","10.1177/0305735618812238"
"Rebecca","J.","female","R. J. Fulford","10.1177/0305735618812238"
"Michelle",NA,"female","M. Pickard","10.1177/0305735618812238"
"Nicola",NA,"female","N. Hamilton","10.1177/0305735618812238"
"B.","S.","male","B. S. Gupta","10.1177/0305735614536754"
"B.","S.","male","B. S. Gupta","10.1177/0305735605056144"
