"BIBTEXKEY","first_name","middle_name","last_name","full_name","JOURNAL","NUMBER","PAGES","TITLE","TYPE","VOLUME","YEAR","DOI","URL","AFFILIATIONS","AUTHOR_KEYWORDS","PUBLICATION_STAGE","SOURCE","Affiliation_country","Affiliation_country_code","Gender","Gender.Probability","Gender.Count","composite_name","author_id","paper_id_author_id","author_order","author_last","author_single","unique_name","OA","Citations"
"Besada2024","José","L.","Besada","José L. Besada","Music and Science",NA,NA,"The Tonnetz at First Sight: Cognitive Issues of Human–Computer Interaction with Pitch Spaces","Article","7",2024,"10.1177/20592043241246515","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85192381486&doi = 10.1177%2f20592043241246515&partnerID = 40&md5 = d6b287d4e2a7073ee0ac36bb6fd84257","Departamento de Musicología, Universidad Complutense de Madrid, Madrid, Spain; Instituto Complutense de Ciencias Musicales, Madrid, Spain; Faculté de Musique, Université de Montréal, Montréal, Canada; IRMA/CREAA, Université de Strasbourg and CNRS, Strasbourg, France; STMS Lab (UMR9912), CNRS, Sorbonne Université and IRCAM, Paris, France","Harmony; human–computer interaction; multimodal interaction; pitch spaces; Tonnetz","Final","Scopus","Spain","ES","male",0.99,25276,"José Besada","author1","Besada2024_author1",1,0,0,"besada_josé","Open Access",1
"Besada2024","Erica",NA,"Bisesi","Erica Bisesi","Music and Science",NA,NA,"The Tonnetz at First Sight: Cognitive Issues of Human–Computer Interaction with Pitch Spaces","Article","7",2024,"10.1177/20592043241246515","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85192381486&doi = 10.1177%2f20592043241246515&partnerID = 40&md5 = d6b287d4e2a7073ee0ac36bb6fd84257","Departamento de Musicología, Universidad Complutense de Madrid, Madrid, Spain; Instituto Complutense de Ciencias Musicales, Madrid, Spain; Faculté de Musique, Université de Montréal, Montréal, Canada; IRMA/CREAA, Université de Strasbourg and CNRS, Strasbourg, France; STMS Lab (UMR9912), CNRS, Sorbonne Université and IRCAM, Paris, France","Harmony; human–computer interaction; multimodal interaction; pitch spaces; Tonnetz","Final","Scopus","Spain","ES","female",0.99,3772,"Erica Bisesi","author2","Besada2024_author2",2,0,0,"bisesi_erica","Open Access",1
"Besada2024","Corentin",NA,"Guichaoua","Corentin Guichaoua","Music and Science",NA,NA,"The Tonnetz at First Sight: Cognitive Issues of Human–Computer Interaction with Pitch Spaces","Article","7",2024,"10.1177/20592043241246515","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85192381486&doi = 10.1177%2f20592043241246515&partnerID = 40&md5 = d6b287d4e2a7073ee0ac36bb6fd84257","Departamento de Musicología, Universidad Complutense de Madrid, Madrid, Spain; Instituto Complutense de Ciencias Musicales, Madrid, Spain; Faculté de Musique, Université de Montréal, Montréal, Canada; IRMA/CREAA, Université de Strasbourg and CNRS, Strasbourg, France; STMS Lab (UMR9912), CNRS, Sorbonne Université and IRCAM, Paris, France","Harmony; human–computer interaction; multimodal interaction; pitch spaces; Tonnetz","Final","Scopus","Canada","CA","male",1,91,"Corentin Guichaoua","author3","Besada2024_author3",3,0,0,"guichaoua_corentin","Open Access",1
"Besada2024","Moreno",NA,"Andreatta","Moreno Andreatta","Music and Science",NA,NA,"The Tonnetz at First Sight: Cognitive Issues of Human–Computer Interaction with Pitch Spaces","Article","7",2024,"10.1177/20592043241246515","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85192381486&doi = 10.1177%2f20592043241246515&partnerID = 40&md5 = d6b287d4e2a7073ee0ac36bb6fd84257","Departamento de Musicología, Universidad Complutense de Madrid, Madrid, Spain; Instituto Complutense de Ciencias Musicales, Madrid, Spain; Faculté de Musique, Université de Montréal, Montréal, Canada; IRMA/CREAA, Université de Strasbourg and CNRS, Strasbourg, France; STMS Lab (UMR9912), CNRS, Sorbonne Université and IRCAM, Paris, France","Harmony; human–computer interaction; multimodal interaction; pitch spaces; Tonnetz","Final","Scopus","France","FR","male",0.85,609,"Moreno Andreatta","author4","Besada2024_author4",4,1,0,"andreatta_moreno","Open Access",1
"Platte2024","Sarah","Lisette","Platte","Sarah Lisette Platte","Music and Science",NA,NA,"Breathing Against the Conducting Gesture? The Effect of Congruent and Incongruent Gesture-Task Combinations on Breathing Behavior and Resulting Loudness of Choral Singers","Article","7",2024,"10.1177/20592043231218558","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85183698871&doi = 10.1177%2f20592043231218558&partnerID = 40&md5 = cf9a68aed5604719a82fa571dead2d52","Department of Sport and Sport Science, University of Freiburg, Freiburg, Germany; University of Music Freiburg, Freiburg, Germany; Department of Neurosciences and Movement Sciences, University of Fribourg, Fribourg, Switzerland","Breathing; choral singing; conducting gesture; non-verbal communication; perception–action interference","Final","Scopus","Germany","DE","female",0.99,57188,"Sarah Platte","author1","Platte2024_author1",1,0,0,"platte_sarah","Open Access",0
"Platte2024","Albert",NA,"Gollhofer","Albert Gollhofer","Music and Science",NA,NA,"Breathing Against the Conducting Gesture? The Effect of Congruent and Incongruent Gesture-Task Combinations on Breathing Behavior and Resulting Loudness of Choral Singers","Article","7",2024,"10.1177/20592043231218558","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85183698871&doi = 10.1177%2f20592043231218558&partnerID = 40&md5 = cf9a68aed5604719a82fa571dead2d52","Department of Sport and Sport Science, University of Freiburg, Freiburg, Germany; University of Music Freiburg, Freiburg, Germany; Department of Neurosciences and Movement Sciences, University of Fribourg, Fribourg, Switzerland","Breathing; choral singing; conducting gesture; non-verbal communication; perception–action interference","Final","Scopus","Germany","DE","male",0.99,7643,"Albert Gollhofer","author2","Platte2024_author2",2,0,0,"gollhofer_albert","Open Access",0
"Platte2024","Dominic",NA,"Gehring","Dominic Gehring","Music and Science",NA,NA,"Breathing Against the Conducting Gesture? The Effect of Congruent and Incongruent Gesture-Task Combinations on Breathing Behavior and Resulting Loudness of Choral Singers","Article","7",2024,"10.1177/20592043231218558","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85183698871&doi = 10.1177%2f20592043231218558&partnerID = 40&md5 = cf9a68aed5604719a82fa571dead2d52","Department of Sport and Sport Science, University of Freiburg, Freiburg, Germany; University of Music Freiburg, Freiburg, Germany; Department of Neurosciences and Movement Sciences, University of Fribourg, Fribourg, Switzerland","Breathing; choral singing; conducting gesture; non-verbal communication; perception–action interference","Final","Scopus","Switzerland","CH","male",1,2320,"Dominic Gehring","author3","Platte2024_author3",3,0,0,"gehring_dominic","Open Access",0
"Platte2024","Joseph",NA,"Willimann","Joseph Willimann","Music and Science",NA,NA,"Breathing Against the Conducting Gesture? The Effect of Congruent and Incongruent Gesture-Task Combinations on Breathing Behavior and Resulting Loudness of Choral Singers","Article","7",2024,"10.1177/20592043231218558","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85183698871&doi = 10.1177%2f20592043231218558&partnerID = 40&md5 = cf9a68aed5604719a82fa571dead2d52","Department of Sport and Sport Science, University of Freiburg, Freiburg, Germany; University of Music Freiburg, Freiburg, Germany; Department of Neurosciences and Movement Sciences, University of Fribourg, Fribourg, Switzerland","Breathing; choral singing; conducting gesture; non-verbal communication; perception–action interference","Final","Scopus","Germany","DE","male",1,2761,"Joseph Willimann","author4","Platte2024_author4",4,0,0,"willimann_joseph","Open Access",0
"Platte2024","Morten",NA,"Schuldt-Jensen","Morten Schuldt-Jensen","Music and Science",NA,NA,"Breathing Against the Conducting Gesture? The Effect of Congruent and Incongruent Gesture-Task Combinations on Breathing Behavior and Resulting Loudness of Choral Singers","Article","7",2024,"10.1177/20592043231218558","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85183698871&doi = 10.1177%2f20592043231218558&partnerID = 40&md5 = cf9a68aed5604719a82fa571dead2d52","Department of Sport and Sport Science, University of Freiburg, Freiburg, Germany; University of Music Freiburg, Freiburg, Germany; Department of Neurosciences and Movement Sciences, University of Fribourg, Fribourg, Switzerland","Breathing; choral singing; conducting gesture; non-verbal communication; perception–action interference","Final","Scopus","Germany","DE","male",1,617,"Morten Schuldt-Jensen","author5","Platte2024_author5",5,0,0,"schuldt-jensen_morten","Open Access",0
"Platte2024","Benedikt",NA,"Lauber","Benedikt Lauber","Music and Science",NA,NA,"Breathing Against the Conducting Gesture? The Effect of Congruent and Incongruent Gesture-Task Combinations on Breathing Behavior and Resulting Loudness of Choral Singers","Article","7",2024,"10.1177/20592043231218558","https://www.scopus.com/inward/record.uri?eid = 2-s2.0-85183698871&doi = 10.1177%2f20592043231218558&partnerID = 40&md5 = cf9a68aed5604719a82fa571dead2d52","Department of Sport and Sport Science, University of Freiburg, Freiburg, Germany; University of Music Freiburg, Freiburg, Germany; Department of Neurosciences and Movement Sciences, University of Fribourg, Fribourg, Switzerland","Breathing; choral singing; conducting gesture; non-verbal communication; perception–action interference","Final","Scopus","Germany","DE","male",1,7682,"Benedikt Lauber","author6","Platte2024_author6",6,1,0,"lauber_benedikt","Open Access",0
